address,city,zip,price,beds,baths,sqft,year_built,lot_size,property_type,hoa_month,days_on_market,tract_geoid,county_name,dist_to_addison_mi,dist_to_lewisville_mi,latitude,longitude,redfin_url
503 N Peak St,Dallas,75246,899900,4,3.5,3803,2022,7797,Single Family Residential,,91,48113001502,Dallas,12.03,21.23,32.792738,-96.7726796,https://www.redfin.com/TX/Dallas/503-N-Peak-St-75246/home/30793584
407 Josephine St,Dallas,75246,360000,2,2.5,1569,1985,2657,Townhouse,40,1,48113001502,Dallas,12.11,21.3,32.7914744,-96.7727695,https://www.redfin.com/TX/Dallas/407-Josephine-St-75246/home/31122522
4502 Gaston Ave #319,Dallas,75246,119990,1,1.0,567,1984,,Condo/Co-op,288,1,48113001502,Dallas,11.75,20.99,32.7967288,-96.7731685,https://www.redfin.com/TX/Dallas/4502-Gaston-Ave-75246/unit-319/home/31170962
4502 Gaston Ave #111,Dallas,75246,65000,1,1.0,550,1984,50617,Condo/Co-op,240,2,48113001502,Dallas,11.75,20.99,32.7967288,-96.7731685,https://www.redfin.com/TX/Dallas/4502-Gaston-Ave-75246/unit-111/home/31170885
543 Josephine St,Dallas,75246,349500,2,2.5,1569,1985,2831,Townhouse,40,5,48113001502,Dallas,12.04,21.22,32.7923206,-96.7737485,https://www.redfin.com/TX/Dallas/543-Josephine-St-75246/home/31122440
4216 E Side Ave,Dallas,75226,629000,,,1960,1924,8233,Multi-Family (5+ Unit),,8,48113001502,Dallas,12.36,21.6,32.78871,-96.768476,https://www.redfin.com/TX/Dallas/4216-E-Side-Ave-75226/home/30794290
162 S Cisco St,Dallas,75246,475000,3,3.0,1836,2021,1481,Single Family Residential,,8,48113001502,Dallas,12.16,21.5,32.7928438,-96.7646482,https://www.redfin.com/TX/Dallas/162-S-Cisco-St-75246/home/147235825
167 S Prairie Ave,Dallas,75226,550000,3,3.0,2160,2024,1350,Single Family Residential,,21,48113001502,Dallas,12.13,21.5,32.7933978,-96.7638557,https://www.redfin.com/TX/Dallas/167-S-Prairie-Ave-75226/home/182755588
183 S Prairie Ave,Dallas,75226,575000,3,3.0,2160,2022,2004,Single Family Residential,,22,48113001502,Dallas,12.14,21.51,32.7933461,-96.7638185,https://www.redfin.com/TX/Dallas/183-S-Prairie-Ave-75226/home/179144237
4205 E Side Ave,Dallas,75226,500000,3,1.0,1462,1910,4617,Single Family Residential,,23,48113001502,Dallas,12.34,21.56,32.788921,-96.769156,https://www.redfin.com/TX/Dallas/4205-E-Side-Ave-75226/home/30794261
4210 Main St,Dallas,75226,299999,0,1.0,1202,1952,10498,Condo/Co-op,,58,48113001502,Dallas,12.31,21.53,32.7893243,-96.7694404,https://www.redfin.com/TX/Dallas/4210-Main-St-75226/home/35539917
4706 Victor St,Dallas,75246,1115000,7,5.5,4468,2023,7667,Single Family Residential,,63,48113001502,Dallas,11.94,21.26,32.795194,-96.7679102,https://www.redfin.com/TX/Dallas/4706-Victor-St-75246/home/30793781
4505-07 Worth St,Dallas,75246,750000,1,1.0,3220,1912,7362,Multi-Family (2-4 Unit),,63,48113001502,Dallas,11.86,21.11,32.795537,-96.7716334,https://www.redfin.com/TX/Dallas/4505-Worth-St-75246/home/201209041
4618 Columbia Ave Unit 2a,Dallas,75226,549000,3,2.5,2115,2025,15987,Condo/Co-op,50,111,48113001502,Dallas,12.12,21.45,32.7930311,-96.7658428,https://www.redfin.com/TX/Dallas/4618-Columbia-Ave-75226/unit-2a/home/199993209
4618 Columbia Ave Unit Bulding 2,Dallas,75226,1098000,6,5.0,4230,2025,15987,Multi-Family (2-4 Unit),50,111,48113001502,Dallas,12.12,21.45,32.7930311,-96.7658428,https://www.redfin.com/TX/Dallas/4618-Columbia-Ave-75226/unit-Bulding-2/home/199992859
531 Josephine St,Dallas,75246,369000,2,2.5,1603,1985,2875,Single Family Residential,40,176,48113001502,Dallas,12.05,21.23,32.7920982,-96.7737258,https://www.redfin.com/TX/Dallas/531-Josephine-St-75246/home/31122446
801 N Carroll Ave,Dallas,75246,125000,,,,,5000,Vacant Land,,224,48113001502,Dallas,11.79,21.02,32.796086,-96.7732884,https://www.redfin.com/TX/Dallas/801-N-Carroll-Ave-75246/home/30793956
713 N Carroll Ave,Dallas,75246,550000,3,5.0,4221,1903,5000,Single Family Residential,,224,48113001502,Dallas,11.8,21.03,32.796046,-96.7731266,https://www.redfin.com/TX/Dallas/713-N-Carroll-Ave-75246/home/30793973
4411 Junius St,Dallas,75246,350000,,,,,13875,Vacant Land,,224,48113001502,Dallas,11.82,21.05,32.7957391,-96.7731245,https://www.redfin.com/TX/Dallas/4411-Junius-St-75246/home/174286856
4419 Junius St,Dallas,75246,250000,,,,,9825,Vacant Land,,224,48113001502,Dallas,11.81,21.05,32.7958787,-96.7729073,https://www.redfin.com/TX/Dallas/4419-Junius-St-75246/home/174286855
